place,time,open,max,min,close,volume,money,weight
SH600000,7/1/2015 13:52,137.5181,138.1729,137.4362,137.9274,8015,13499648,8.1856
SH600000,7/1/2015 13:53,137.8455,137.9274,137.5181,137.5181,1208,2031872,8.1856
SH600000,7/1/2015 13:54,137.5181,138.0911,137.5181,138.0092,12400,20910336,8.1856
SH600000,7/1/2015 13:55,138.0092,138.1729,138.0092,138.0911,4447,7503616,8.1856
SH600000,7/1/2015 13:56,138.0092,138.1729,137.7636,138.0911,4915,8286976,8.1856
SH600000,7/1/2015 13:57,138.0911,138.0911,137.7636,137.9274,3521,5932288,8.1856
SH600000,7/1/2015 13:58,137.9274,137.9274,137.5999,137.8455,1452,2444288,8.1856
SH600000,7/1/2015 13:59,137.7636,138.1729,137.7636,138.0092,6913,11654400,8.1856
SH600000,7/1/2015 14:00,137.9274,138.0092,137.8455,137.8455,2932,4944128,8.1856
SH600000,7/1/2015 14:01,138.0911,138.1729,137.7636,138.0092,4685,7896320,8.1856
SH600000,7/1/2015 14:02,138.0092,138.0092,137.7636,137.7636,3233,5446656,8.1856
SH600000,7/1/2015 14:03,137.7636,138.2548,137.6818,138.2548,9250,15599104,8.1856
SH600000,7/1/2015 14:04,138.1729,138.2548,138.0911,138.0911,7738,13066752,8.1856
SH600000,7/1/2015 14:05,138.0092,138.0092,137.5181,137.8455,5128,8626432,8.1856
SH600000,7/1/2015 14:06,137.9274,138.0092,137.5181,137.5999,4159,7001344,8.1856
SH600000,7/1/2015 14:07,137.8455,137.9274,137.4362,137.4362,4284,7199744,8.1856
SH600000,7/1/2015 14:08,137.4362,137.4362,137.1907,137.1907,6190,10381056,8.1856
SH600000,7/1/2015 14:09,137.1088,137.2725,137.1088,137.2725,6502,10898176,8.1856
SH600000,7/1/2015 14:10,137.2725,137.6818,137.2725,137.5999,2094,3517440,8.1856
SH600000,7/1/2015 14:11,137.5181,137.7636,137.1088,137.3544,3742,6281728,8.1856
SH600000,7/1/2015 14:12,137.3544,137.3544,137.1907,137.1907,3192,5352448,8.1856
SH600000,7/1/2015 14:13,137.4362,137.4362,137.1088,137.1907,5249,8795904,8.1856
SH600000,7/1/2015 14:14,137.1907,137.1907,136.9451,137.1907,4454,7459840,8.1856
SH600000,7/1/2015 14:15,136.9451,137.1907,136.8632,136.8632,4525,7571456,8.1856
SH600000,7/1/2015 14:16,136.8632,137.1907,136.454,136.6995,19143,31975168,8.1856
SH600000,7/1/2015 14:17,136.454,136.6995,136.2902,136.6995,5791,9659648,8.1856
SH600000,7/1/2015 14:18,136.3721,137.0269,135.9628,136.9451,17193,28621312,8.1856
SH600000,7/1/2015 14:19,136.9451,137.0269,136.0447,137.0269,7680,12815360,8.1856
SH600000,7/1/2015 14:20,136.6995,137.0269,136.3721,136.3721,5739,9584640,8.1856
SH600000,7/1/2015 14:21,136.454,136.6995,136.454,136.6995,5480,9141248,8.1856
SH600000,7/1/2015 14:22,136.5358,136.5358,136.1265,136.2902,9627,16029440,8.1856
SH600000,7/1/2015 14:23,136.2902,137.4362,136.2902,137.3544,9226,15425280,8.1856
SH600000,7/1/2015 14:24,136.8632,137.2725,136.5358,136.6177,4636,7756544,8.1856
SH600000,7/1/2015 14:25,136.6995,137.5999,136.5358,137.5999,10766,18036224,8.1856
SH600000,7/1/2015 14:26,137.7636,137.7636,136.9451,137.1907,7770,13050624,8.1856
SH600000,7/1/2015 14:27,137.2725,137.4362,137.1088,137.3544,2626,4405248,8.1856
SH600000,7/1/2015 14:28,137.3544,137.3544,137.0269,137.1088,3816,6400000,8.1856
SH600000,7/1/2015 14:29,137.1088,137.5999,136.8632,136.8632,13421,22522880,8.1856
SH600000,7/1/2015 14:30,137.5181,137.5181,136.9451,137.4362,1807,3030528,8.1856
SH600000,7/1/2015 14:31,137.4362,137.4362,136.8632,137.1088,2147,3594240,8.1856
SH600000,7/1/2015 14:32,137.2725,137.3544,136.9451,137.1088,3868,6481408,8.1856
SH600000,7/1/2015 14:33,137.0269,137.0269,136.6177,136.6177,6242,10431232,8.1856
SH600000,7/1/2015 14:34,136.6995,136.7814,136.454,136.5358,5522,9218048,8.1856
SH600000,7/1/2015 14:35,136.454,136.454,136.1265,136.2084,11491,19136768,8.1856
SH600000,7/1/2015 14:36,136.2084,136.2084,135.9628,136.0447,8598,14292224,8.1856
SH600000,7/1/2015 14:37,135.9628,136.0447,135.881,135.881,9674,16064768,8.1856
SH600000,7/1/2015 14:38,135.9628,136.2902,135.881,135.9628,11620,19303424,8.1856
SH600000,7/1/2015 14:39,136.0447,136.6995,135.9628,136.2084,9828,16370688,8.1856
SH600000,7/1/2015 14:40,136.2902,136.6995,136.0447,136.5358,10442,17406208,8.1856
SH600000,7/1/2015 14:41,136.5358,136.5358,136.2084,136.2902,4200,6991872,8.1856
SH600000,7/1/2015 14:42,136.2902,136.2902,135.3898,135.3898,19718,32721408,8.1856
SH600000,7/1/2015 14:43,135.3898,135.3898,134.8987,134.8987,36486,60236544,8.1856
SH600000,7/1/2015 14:44,134.8987,135.0624,134.2438,134.8168,29476,48479488,8.1856
SH600000,7/1/2015 14:45,135.0624,135.0624,134.4894,134.4894,13107,21547008,8.1856
SH600000,7/1/2015 14:46,134.735,134.9805,134.5713,134.9805,10338,17022208,8.1856
SH600000,7/1/2015 14:47,135.0624,135.0624,134.4076,134.8168,28788,47334144,8.1856
SH600000,7/1/2015 14:48,134.4894,134.4894,133.589,133.6708,34648,56772096,8.1856
SH600000,7/1/2015 14:49,133.589,133.6708,132.8523,132.8523,35406,57709312,8.1856
SH600000,7/1/2015 14:50,132.6067,133.4253,132.6067,133.4253,23099,37491968,8.1856
SH600000,7/1/2015 14:51,133.589,133.9983,133.4253,133.589,15680,25609472,8.1856
SH600000,7/1/2015 14:52,133.589,133.589,132.6886,132.7704,15130,24611328,8.1856
SH600000,7/1/2015 14:53,133.016,134.4076,132.8523,133.6708,16764,27361792,8.1856
SH600000,7/1/2015 14:54,133.589,134.2438,133.4253,134.0801,10626,17396224,8.1856
SH600000,7/1/2015 14:55,134.3257,134.5713,133.6708,134.2438,15129,24782848,8.1856
SH600000,7/1/2015 14:56,133.6708,135.0624,133.6708,134.5713,12334,20293376,8.1856
SH600000,7/1/2015 14:57,134.162,135.0624,133.9983,134.8168,19216,31651328,8.1856
SH600000,7/1/2015 14:58,134.5713,134.8987,134.0801,134.0801,10557,17337856,8.1856
SH600000,7/1/2015 14:59,134.2438,134.4894,133.589,133.589,17605,28828672,8.1856
SH600000,7/1/2015 15:00,133.8346,134.162,133.4253,133.589,30332,49501952,8.1856
